FIPStract,tractid,p_white,p_black,p_hispanic,total_housing_units,occupied_housing_units,vacant_housing_units,p_occupied,p_vacant,p_owner_vacant,p_renter_vacant,median_grossrent_allhouses,median_grossrent_nobedrms,median_grossrent_onebedrms,median_grossrent_twobedrms,median_grossrent_threebedrms,median_grossrent_fourbedrms,median_grossrent_fivebedrms,average_grossrent_nobedrms,average_grossrent_onebedrms,average_grossrent_twobedrms,average_grossrent_threebedrms,median_grossrent,average_gross_rent,median_contract_rent,average_contract_rent,average_rooms,owner_average_rooms,renter_average_rooms,median_rooms,owner_median_rooms,renter_median_rooms,average_bedrms,owner_average_bedrms,renter_average_bedrms,median_yearbuilt,owner_median_yearbuilt,renter_median_yearbuilt,median_yearmovein,owner_median_yearmovein,renter_median_yearmovein,p_renter_higherthan_highschool,p_renter_higherthan_bachelor,p_higherthan_highschool,p_higherthan_college,owner_average_income,renter_average_income,median_hhinc,owner_median_hhinc,renter_median_hhinc,tract_assault_all,tract_arrest_all,tract_theft_all,presp_white,presp_black,presp_hispanic,tract_bathrooms,tract_sqft,tract_theft,tract_assault,tract_arrest,tract_elementary_school_score,tract_middle_school_score,tract_high_schol_score,tract_nightlife,tract_particulate_matter,tract_ozone,tract_nata_diesel_pm,tract_nata_airtoxics_cancerrisk,tract_nata_respiratory_hazard,tract_traffic_proximity_volume,tract_lead_paint_indicator,tract_superfund_proximity,tract_rmp_proximity,tract_hazardous_waste_proximity,tract_wastewater_discharge,tract_dist_tri,tract_pop_overage_64,tract_pop_underage_5,tract_poplessthan_highs,tract_linguistic_pop,tract_low_income_population,tract_minority_population,tract_toxic
42091203901,105,0.11539639,0.38230792,0.46372819,1363,1143,220,83.9,16.1,11.3,6,860,675.90967,769,891,1031,1643,868,703.94739,823.34607,934.30231,1109.7861,860,964.78949,712,769.78949,4.8530183,6.6315789,4.5802221,4.6,6.8,4.2,2.3158355,3.5723684,2.1231079,1939,1939,1939,2011,1980,2012,0.56811303,0.079717457,0.58176261,0.12277127,72796.055,37623.613,32355,65349.87891,31013,58.34462,8.1693306,41.379189,0.38617218,0.15011975,0.84580338,2,2698,1,69,62.9977,4.1497617,4.440496,3,7,10.7,45.5,1.33,52,2.5,210,0.69999999,1.1,2.5999999,2.3,3300,1.106931,11,8,20,10,50,68,0
42091203902,106,0.30197218,0.27028775,0.35564178,1874,1652,222,88.2,11.8,7.6,7,1127,664.30145,909,1485,1273,1532.438,1193.2566,509.375,843.71753,1247.1428,1167.9104,1127,1086.5253,911,923.18427,3.9539952,5.8959107,3.5762835,3.7,5.8,3.5,1.8032688,3.070632,1.5567607,1971,1939,1976,2011,2007,2012,0.7715112,0.25885755,0.77141589,0.37638703,56115.242,40533.262,28409,39148,25625,35.513226,8.4412603,42.591587,0.67120647,0.15362681,0.83787167,1,3050,1,84.5,58.995468,6,7.5,4.5,6.5,10.75,45.450001,1.405,51.5,2.5,235,0.64499998,1.3,3.25,3.0500002,3900,0.6382786,11.5,7.5,19.5,9,45,58,1
42091204007,107,0.76232558,0.11162791,0.021395348,998,947,51,94.9,5.1,3.1,2.9,1333,1126.3728,1139,1374,1708,1900.708,1685,875,1250,1258.8384,1417.3387,1333,1355.8334,1214,1236.7709,5.6209083,7.1797752,4.2390437,5.7,7.1,4.2,2.5691657,3.2292135,1.9840637,1967,1958,1974,2010,2001,2013,1,0.45219123,0.97834396,0.53121018,93207.867,60204.184,62460,94063,47955,39.987373,13.338185,70.06678,0.25676775,0.23951991,0.77865511,1.8333334,12804.625,326.79999,151.33333,71.599998,4.2600002,3.9111111,5.1111112,52.333332,11.166667,44.25,1.8418334,51.5,2.5999999,1093.3334,0.59666663,0.17083333,0.58999997,3.3983333,1529.3334,1.4066608,13.5,5.8333335,9.5,2.8333333,33.333332,40.666668,0
42091204009,108,0.77399552,0.068638392,0.051897321,835,782,53,93.7,6.3,2.6,6.7,1657,1420.9155,1318,2019,1688,0,0,1041.6666,1089.4736,1430.3279,1298.9131,1657,1658.3716,1580,1527.7523,5.8081841,6.4247313,4.2723212,5.4,6.4,4,2.7058823,2.9605734,2.0714285,1976,1975,1977,2005,2001,2015,0.88839287,0.4107143,0.93021584,0.59712231,92114.695,80301.336,99205,105870,69167,74.503693,24.369665,130.69281,0.39298671,0.36251974,0.63207382,1.5,1071.5,162,79.666664,57.833332,5.124074,5.3555555,2.45,73.166664,11.257143,44.342857,2.0781429,55,2.7428572,882.85712,0.61428571,0.18442857,0.73285717,3.5571427,1009.5297,2.3457279,13.714286,5.2857141,10.571428,5.4285712,38.714287,52.57143,0
42091204101,109,0.95952564,0.005929363,0.026553236,1926,1758,168,91.3,8.7,2.2,2.9,1269,803,900,1101,1826,2142,1685,1016.0134,934.78259,1123.5294,1476.7441,1269,1380.8876,1045,1177.9877,6.2064848,6.6984668,5.2174659,6.3,6.6,4.4,2.874289,3.1311755,2.3578768,1939,1939,1942,2005,2000,2011,0.91438359,0.54280823,0.9393838,0.5338245,88430.578,70834.758,85875,94375,65357,35.661087,12.604229,62.895233,0.19875856,0.17920074,0.31948629,1.4597257,15913.976,1,14,79.433105,7.2857141,7.3333335,8,15,10.8,45.200001,1.3099999,50,2.3,1000,0.5,0.55000001,1.4,3.4000001,3600,1.0144083,13,5,5,1,18,12,0
42091204102,110,0.8636142,0.035801265,0.040672187,2433,2199,234,90.4,9.6,0.9,6.7,1620,803,1590,1653,1745,2125,1685,785.51587,1332.946,1366.5865,1471.1896,1620,1607.765,1411,1449.0364,4.4220099,5.3803682,3.8576589,4.1,5.5,3.5,2.024102,2.5644171,1.7059249,1990,1976,1991,2006.0685,2008,2012.233,0.96965319,0.70086706,0.96845329,0.75344563,99257.672,78710.258,81601,94539,75429,37.015724,13.589847,65.932816,0.20430294,0.18080918,0.26654565,1.5,28953.227,265.71429,136.42857,81.5,3.4142857,5.6972222,6.6916666,58.533333,11.099999,44.706669,1.7616667,53,2.5533333,895.59998,0.60133332,0.41646668,1.2426666,3.7673333,3375.2202,1.2902071,12.2,5.1999998,8.333333,2.0666666,29.200001,32.466667,0.13333334
42091204300,111,0.82064611,0.04455997,0.018195322,1372,1224,148,89.2,10.8,0,13.1,734,997.50122,706,1277,1562.3601,1779.33,2868,482.5,761.36365,1146.3414,1500,734,1214.6892,729,1157.9095,5.8047385,6.1994219,3.6021504,5.9,6.1,3.2,2.6160131,2.8063583,1.5537634,1960,1957,1972,2006,2004,2013,0.76881719,0.69354838,0.95412844,0.76581359,97133.914,61370.969,98071,102000,43543.14453,108.10999,34.970783,199.44475,0.50671411,0.40569463,0.49748111,1.25,12951.125,412.25,98,58,6.1999998,5.4000001,6.3333335,83.599998,11.34,44.099998,2.036,53.799999,2.6799998,1082,0.61400002,0.1406,0.92199999,3.322,2202,1.3041248,15.4,4.5999999,9,3.8,30.6,38.799999,0.2
42091204400,112,0.82319027,0.036835361,0.050928891,1262,1193,69,94.5,5.5,0,9.6,1405,978.72614,1119,1420,1587.3658,1709.8315,2868,812.35181,1130.5146,1316.5829,1500,1405,1540.6149,1399,1474.7573,7.0083823,8.0983982,4.0219436,7.9,9,3.9,3.529757,4.0858126,2.0062697,1944,1939,1960,2003,1997,2012,1,0.88401252,0.99124938,0.85707343,124885.59,57468.652,135893,175982,51090,90.723465,29.650837,171.70831,0.53950238,0.45289734,0.55775768,2.75,777,368,135,90,5.5333333,5.6666665,6.3333335,20.666666,11.366667,44.200001,1.6733333,49.333332,2.3999999,750,0.68000001,0.10633333,0.75666666,2.3,1833.3334,1.5350595,14,4,7,3.6666667,31.666666,39.666668,0
42091204500,113,0.91810161,0.031289373,0.014699706,1498,1475,23,98.5,1.5,0,0,1891,942.0257,1063.4183,1724,1988,3032,0,625,1086.984,1476.1904,1500,1891,2104.5454,1823,1980.6818,7.8277965,8.214572,5.6902657,9,9,5.5,3.9437289,4.1537228,2.783186,1939,1939,1939,2003,2001,2012,1,0.74778759,0.99458092,0.89486992,128498.8,70973.453,183787,209917,64000,159.15651,64.336334,243.87946,0.58029687,0.36308137,0.5791378,1,19900.773,100,100,100,2.909091,3,2.2,10,11.1,43.900002,1.84,51,2.5999999,1200,0.80000001,0.18000001,1.6,3.7,0.0027,2.2014501,8,9,23,13,53,83,0
42091204702,114,0.79212457,0.021672772,0.025030525,1375,1254,121,91.2,8.8,4.1,12.7,1399,0,1036.3879,1344.3927,1656,1229,2438.2607,875,1050.1403,1250,1293.75,1399,1625.1174,1373,1435.7981,7.1730461,7.4149857,5.9906101,7.4,7.8,5.9,3.5311005,3.5984631,3.2018778,1953,1952,1954,2003,2000,2013,0.93427229,0.67605633,0.95800865,0.69913417,100028.82,95234.742,108167,111012,105875,79.919014,24.48484,162.49171,0.39755842,0.4499898,0.5734477,1.9534448,37296,163.5,17,120,7,7,9,34,11.2,44.400002,1.1,44,1.9,800,0.73000002,0.1,0.41999999,0.23,4600,0.55105442,11,4,6,2,25,17,1
